preprocessed_tweets,tweet_content,tweet_label,confidence
total anggaran pendidikan 2025 757 triliun 44 6 dialokasikan mbg 335 triliun mbg tercatat 5 360 anak keracunan guru keracunan mencicipi makanan disajikan makanan ditemukan belatung basi busuk dan lain-lain surat edaran,"total anggaran pendidikan 2025 &gt; 757 triliun
44,6% dialokasikan buat MBG &gt; 335 triliun

kasus-kasus MBG:
• tercatat 5.360 anak keracunan
• guru ikut keracunan karena diminta mencicipi makanan sebelum disajikan 
• makanan ditemukan belatung/basi/busuk dll
• surat edaran yg https://t.co/G3va4L7lSN",neutral,0.6904876232147217
evaluasi mbg guru repot mengatur mbg membagikan mengikat mengumpulkan habis dipaksa mencicipi mengganggu jam ajar sekolah terbebani tanggung makan hilang makanan tersisa keracunan orang tua jaminan,"EVALUASI MBG! 

⛔ Guru repot mengatur MBG:
-membagikan
-mengikat
-mengumpulkan
-memastikan habis
-dipaksa mencicipi
-mengganggu jam ajar

⛔ sekolah terbebani tanggung jawab: -jika tempat makan hilang
-jika makanan tersisa
-jika keracunan

⛔ Orang Tua: 
- tidak ada jaminan",negative,0.9990572333335876
sedih ngelihat mbg didapet adik  gwe vs makan dirumah,sedih ngelihat MBG yg didapet adek gwe vs yg dia makan dirumah https://t.co/xoC6BofQfA,negative,0.998072385787964
proyek megakorupsi wisma atlet rp 2 5 triliun proyek megakorupsi mbg rp 2 4 triliun 2 20 juta anak memakan objek misterius x busuk amis tajam lengket penuh belatung ribuan keracunan kejang muntah mencret ompreng dilumasi minyak babi haram,"Proyek Megakorupsi Wisma Atlet: Rp 2.5 triliun

Proyek Megakorupsi MBG: Rp 2.4 triliun tiap 2 hari

20 juta anak memakan Objek Misterius X yang busuk amis tajam lengket penuh belatung, 

Ribuan keracunan, kejang, muntah, dan mencret, 

Ompreng dilumasi minyak babi (haram https://t.co/EX7vPF6HzX",negative,0.9757428765296936
desakan evaluasi mbg mengemuka disiplin keilmuan ekonomi pendidikan kedokteran anak perlindungan anak pemerintah kunjung mengevaluasi sekian berjalan ribuan orang keracunan,"Desakan buat evaluasi MBG kini mengemuka dari berbagai disiplin keilmuan:

Ekonomi ✅️
Pendidikan ✅️
Kedokteran anak ✅️
Perlindungan anak ✅️

Jadi kenapa kira-kira pemerintah tak kunjung mengevaluasi menyeluruh sampai sekian bulan berjalan dan ribuan orang keracunan? https://t.co/y0D5T2pALH",neutral,0.997183620929718
keracunan mbg,Keracunan MBG https://t.co/CsLh4AxZJW,negative,0.9839200377464294
anggaran mbg 1 2 triliun perhari perhari program ngaco diliburin seminggu terus  duitnya bangun sekolahan renovasi sekolah rusak bayar gaji guru layak dandanin infrastruktur beasiswa terselamatkan mbg taek,"Anggaran MBG itu 1,2 triliun PERHARI!

Sekali lagi, PERHARI!

Itu program ngaco kalo diliburin seminggu, trus duitnya buat bangun sekolahan, renovasi sekolah rusak, bayar gaji guru dengan layak, dandanin infrastruktur, sama buat beasiswa, udah banyak yg terselamatkan!

MBG taek!",negative,0.9388304948806764
total ribu siswa keracunan massal menu mbg pemerintah janji evaluasi kah berbenah,"Total, lebih dari lima ribu siswa keracunan massal menu MBG. Pemerintah janji evaluasi, tapi sudah kah berbenah? https://t.co/aKi9nr79XQ",neutral,0.9978784322738647
mbg bagus orang miskin tidak bisa makan tugas negara ngatasin kemiskinan makan gratis beracun mastiin ketersediaan bahan pokok mastiin rakyat afford makanan matang  lebih baik buka katering mengurus negara,"""Tapi MBG bagus buat org miskin yang gabisa makan""

Tugas negara ngatasin kemiskinan itu bukan dgn ngasih makan gratis (apalagi beracun), tapi:
- mastiin ketersediaan bahan pokok
- mastiin rakyat bisa afford

Kalo ngasih makanan mateng mending buka katering jgn ngurus negara",negative,0.90409654378891
purbaya lihatlah mbg kabupaten blora,Pak Purbaya lihatlah MBG di Kabupaten Blora pak 😭 https://t.co/lPszTf1hYa,neutral,0.9983572363853456
menu mbg mirip  gini,Menu MBG apa kayak gini? 😭 https://t.co/YjMrNclf9I,neutral,0.9603965878486632
program dihentikan dinepalkan bertanggung mundur dinepalkan keracunan mbg masif sistemik melanjutan membiarkan membiarkan anak anak dibunuh program negara,"Program dihentikan atau dinepalkan?
Yang bertanggung jawab mundur atau dinepalkan?

Keracunan MBG ini sudah masif dan sistemik. Melanjutan dan membiarkan sama dengan membiarkan anak-anak dibunuh (program) negara. https://t.co/jLf78xIV4z",negative,0.9989845156669616
mbg kalah ibu2 jualan sarapan pinggir jalan 10k nasi ayam mie enak amp pilihannya,"Mbg kalah sama ibu2 yg jualan sarapan di pinggir jalan. 10K udah dapet nasi, ayam sama mie, rasanya juga enak &amp; pilihannya juga banyak https://t.co/P8CQNH0X09",positive,0.9976693987846376
mbg makan bergizi gratis makan beracun gratis parahnya siswa keracunan korban jiwa bertanggung program distop dievaluasi ulang sistemnya,"MBG itu harusnya Makan Bergizi Gratis, bukan malah Makan Beracun Gratis, parahnya.. justru semakin banyak siswa yg keracunan, jika ada korban jiwa siapa yg harus bertanggung jawab???

Program ini harus distop dahulu, dan dievaluasi ulang, terutama sistemnya, jgn sampai akhirnya https://t.co/atUhwkoky9",neutral,0.9794915914535522
keracunan mbg dipublikasikan nama sekolahnya nama dapur sppd nya,"Setiap ada keracunan MBG, yang dipublikasikan nama sekolahnya, bukan nama dapur/SPPD-nya. 

🥲",neutral,0.998455047607422
keracunan mbg benar  kirain candaan,Keracunan mbg beneran kirain cuma candaan https://t.co/wmU88AjgBu,negative,0.997292459011078
mbg bandeng presto sob,MBG bandeng Presto sob🥳. https://t.co/vbSiECIHgs,positive,0.9914056062698364
mbg premanisme jahat umkm sekolah bisnis industri makanan dijalankan warung jajanan dirampok yayasan bisnis milik parpol2 didanai pajak 1 triliun makanan diadakan basi busuk asalan,"MBG adalah premanisme jahat terhadap UMKM di sekitar sekolah. 

Bisnis industri makanan yang awalnya dijalankan oleh warung jajanan, dirampok oleh yayasan dan bisnis milik parpol2 tertentu, didanai pajak 1 triliun/hari. 

Makanan yang diadakan basi, busuk, dan asal-asalan.

Ini",negative,0.9965393543243408
bodoh heboh surat mbg breves anak keracunan orang tua dilarang menuntut,"GOBLOK...

HEBOH SURAT MBG DI BREVES, ANAK KERACUNAN ORANG TUA DILARANG MENUNTUT... ‼️

#BongkarIjazahPalsuGibran
#BongkarIjazahPalsuGibran
🆘🆗 https://t.co/CB1rvWe5HP",negative,0.9962561130523682
murid videokan mbg langsung dilarang guru parodikan mbg langsung dilarang muncul larangan larangan memposting mbg sekolah orang tua guru sekolah ditekan bertanggung mbg bermasalah guru siswa keracunan rumah sakit,"Murid videokan MBG, langsung dilarang. Guru parodikan MBG, langsung dilarang. Kemudian muncul larangan-larangan memposting MBG di sekolah. Orang tua, guru dan sekolah ditekan agar ikut bertanggung jawab jika MBG bermasalah. 

Sampai ketika guru dan siswa keracunan. Rumah sakit",negative,0.9989532232284546
program mbg diawasi ketat pemerintah bahan bakunya takaran gizinya proses masaknya distribusinya terkontrol kualitas mbg terjaga,"Kini program MBG sudah diawasi ketat oleh pemerintah mulai dari bahan bakunya, takaran gizinya, proses masaknya, hingga distribusinya. Semua terkontrol dengan baik untuk memastikan kualitas MBG tetap terjaga #mbg #gasssnow https://t.co/tWQuoMmWo5",positive,0.9602583050727844
mati mbg dievaluasi dihentikan pemerintah beruntung ngerekam makan,"Mungkin harus ada dulu yg mati,baru MBG ini dievaluasi atau dihentikan oleh pemerintah.

Beruntung yg ngerekam belum sempat makan. https://t.co/sY2hrK7hxE",neutral,0.992685079574585
guru cicipi mbg dianggap beban negara tumbal negara,"Guru cicipi MBG....
Setelah dianggap jadi beban negara
Sekarang jadi tumbal negara 😫 https://t.co/2zBTpIVUd4",negative,0.9888695478439332
dugaan ompreng mbg pakai minyak babi muhammadiyah hentikan nu nilai disucikan,"Dugaan Ompreng MBG Pakai Minyak Babi, Muhammadiyah Minta Hentikan, NU Nilai Bisa Disucikan https://t.co/KsvO2lANDN",neutral,0.6358890533447266
427 siswa keracunan mbg bengkulu,427 siswa keracunan MBG di Bengkulu https://t.co/tG1ggTP9tf,neutral,0.9987671375274658
mbg tumbuh asa cerdas generasi tangguh indonesia hebat,"Dari MBG, tumbuh asa, cerdas, dan generasi tangguh untuk Indonesia yang hebat https://t.co/qE6aEj58QB",positive,0.9991554021835328
tolong konfirmasi meninggal grgr mbg daerah benar  meninggal keracunan wajib blow up beritanya kak biar masyarakat,@Sempiternal297 Tolong konfirmasi yg meninggal grgr mbg? Kamu daerah mana? Kalo beneran meninggal karna keracunan wajib harus di blow up beritanya kak biar masyarakat pada tau,neutral,0.9879395961761476
hentikan mbg mengorbankan anak anak peluang maju,Hentikan MBG berarti mengorbankan masa depan anak-anak dan peluang mereka untuk maju https://t.co/4L0vJOE0kr,negative,0.9938265681266784
nutup mata ketidaksiapan negara mengelola program mbg intinya program berialan butuh perencanaan matang rusuh kaya gini keracunan anggap sepele kahhh,"@xxunday @Geusan1 @regar_op0sisi Jgn nutup mata akan ketidaksiapan negara ini untuk mengelola program sebesar MBG, intinya ni program kalau mau berialan dgn baik butuh perencanaan matang ga rusuh kaya gini. Udah brp bnyk yg keracunan? Km anggap sepele kahhh",negative,0.9983441829681396
tergantung umr masing2 dapur mbg,@RadioElshinta tergantung umr masing2 dapur mbg,neutral,0.9939483404159546
mbg ampe dom wadidaw banget,kasus mbg udh ampe dom gue wadidaw bgt,positive,0.9882991313934326
i checked recent reports from sources like reuters and tempo there are over 5 000 cases of food poisoning linked to indonesia s mbg program causing illness and hospitalizations but no confirmed deaths the claim of a fatality appears unverified,"@BishamonAvatar @kemenKPK_RI I checked recent reports from sources like Reuters and Tempo. There are over 5,000 cases of food poisoning linked to Indonesia's MBG program, causing illness and hospitalizations, but no confirmed deaths. The claim of a fatality appears unverified.",negative,0.9978971481323242
kak membela mbg informasi sodaraku menurutku pribadi ya program mbg lebih baik bangun dapur sekolah sebenarnya  siswa 1 sekolah 300 500 masuk akal porsinya,"@pouunji Bener kak, aku disini jg ga ngebela MBG kok. Cuma ngasih tau aja info dari sodaraku. Kalo menurutku pribadi yaa program kek MBG ini mendingan bangun dapur sekolah sebenernya. Jumlah siswa 1 sekolah mungkin sekitar 300-500, lebih masuk akal porsinya.",negative,0.9310794472694396
ganti pemberian uang teman nya cuan proyek sppg mbg yayasan kering isi rekening nya,"@Jelli_cent Kalo di ganti dgn pemberian uang, dia dan konco2 nya g bisa lagi dpt cuan, kan proyek sppg MBG ini harus melalui satu yayasan, bisa kering isi rekening nya,,,?!",neutral,0.9987898468971252
mbg gini,@Beeranjak MBG kek gini aku mau,negative,0.9956710338592528
the real mbg negara kepanjangan b mbg begizi berbahaya,"Inilah the real MBG, kalo yg di negara onoh kepanjangan B di MBG bukan Begizi tapi Berbahaya",negative,0.9981269240379332
ayoo suarakan sekencang kencangnya kondisi mbg rawan dikorup maling² intelektual,@Anak__Ogi @prabowo @Gerindra Ayoo kita suarakan sekencang kencangnya kondisi MBG yg rawan dikorup oleh para maling² intelektual,negative,0.9977555871009828
dampak mbg luas indonesia,"Dampak MBG lebih luas dari yang lo kira, ini soal masa depan Indonesia https://t.co/TBZVPmRnOV",negative,0.8221728801727295
bangun  miliar porsi mbg miliar anggaran mbg terindikasi korupsi miliar anggaran mbg disetor keluarga solo keracunan mbg logika nya anggaran korupsi minim nya anggaran mbg berpotensi keracunan,"@ARSIPAJA BGN sudah buat Satu Miliar Porsi MBG, dan berapa miliar anggaran MBG yg terindikasi 'Di Korupsi' ? ..

Dan, berapa miliar anggaran MBG yg telah disetor ke Keluarga Solo ? ..

Keracunan MBG logika-nya anggaran di korupsi, dgn minim-nya anggaran MBG berpotensi Keracunan terjadi ..",negative,0.5510390400886536
biarkan kebaikan berhenti jalan teruskan mbg sdm indonesia prima,"Jangan biarkan kebaikan berhenti di tengah jalan, teruskan MBG demi SDM Indonesia yang prima https://t.co/YXzJSjsO95",positive,0.9232317209243774
mbg pembeda nyata penuh harapan ketinggalan,MBG jadi pembeda nyata antara masa depan yang penuh harapan dan yang ketinggalan https://t.co/uweH8T8tSp,neutral,0.7369377613067627
baca artikel share pendapat kolom komentar,"Baca artikel ini dan share pendapat kalian di kolom komentar!
https://t.co/pgFHVUkQeF",neutral,0.9955926537513732
1 miliar porsi dikonsumsi porsi yah sekolah menolak mbg,"@ARSIPAJA Dari 1 miliar porsi yang dikonsumsi berapa porsi yah?

Kan ada beberapa sekolah yg menolak mbg.",negative,0.677459716796875
audience ingin  dengerin mbg nasi basi,@Dakenwolve @MurtadhaOne1 audience pingin dengerin MBG nasi basi,negative,0.97934490442276
mbg coret beredar medsos,MBG Coret tiap hari beredar di semua medsos.,negative,0.9919474720954896
makanan beracun gratis mbg selagi gratis bu guru,"@yaniarsim Makanan Beracun Gratis (MBG)
Mumpung lagi gratis bu guru...🤣🤣🤣",neutral,0.6468704342842102
jaga keberlanjutan mbg indonesia cerah,Bersama jaga keberlanjutan MBG demi masa depan Indonesia yang lebih cerah https://t.co/Y9J5Bww0WP,positive,0.9788907170295716
mbg makan enak peluang anak bangsa berkembang utuh,"MBG bukan sekadar makan enak, tapi peluang anak bangsa untuk berkembang utuh https://t.co/fLkkLF0qwV",positive,0.9972686767578124
pemikiran kacau orang tua kerja makan sekeluarga anaknya sekolah makan mbg 1 x mutu gizinya,"@Urrangawak Pemikiran yang kacau, kalau orang tua tdk dapat kerja, tidak dapat memberikan makan sekeluarga, anaknya yg sekolah dapat makan MBG hanya 1 X, belum lagi mutu gizinya dipertanyakan, apakah lebih baik???",negative,0.9992554783821106
mbg manfaat kelola sekolah komite sekolah,@infobdg MBG akan lebih manfaat jika di kelola masing-masing sekolah lewat Komite Sekolah,neutral,0.998646318912506
kids are getting food poisoned by the mbg program what a day to live as an indonesian,Kids are getting food poisoned by the MBG program.. what a day to live as an Indonesian.,neutral,0.9085906744003296
hedeuh keracunan melulu memprihatinkan mbg,"@tempodotco Hedeuh! Keracunan mulu, memprihatinkan MBG",negative,0.998958706855774
kak pondok dulu  sekolah mbg lho,"@ululceriya kak, di pondok dl aku sekolah jg dapet MBG lho",neutral,0.9976670742034912
mbg investasi hasilnya dampaknya,"MBG itu investasi yang hasilnya nggak kelihatan sekarang, tapi dampaknya terasa hingga masa depan https://t.co/dvgEKLoNuU",positive,0.9982346296310424
terlanjur tanam modal dapur mbg iya,@tempodotco udah terlanjur tanam modal banyak di dapur MBG ya pak ?,negative,0.9822236895561218
udahlah wok gengsi berhentikan program mematikan mbg tuh makanan beracun gratis not makanan bergizi gratis bilang salahin masak tetap  salah itu  orang bikin program berpikir ye tolol,"Udahlah wok ga usah gengsi, berhentiin program mematikan itu. MBG tuh makanan beracun gratis, not makanan bergizi gratis. Mau bilang salahin yg masak juga tetep yg salah tu ORANG YG BIKIN PROGRAM GA NGOTAK INI YE TOLOL",negative,0.9993715882301332
mbg ladang korupsi ladang dosa terlibat ingat  hai pertanggungjawaban akhirat,"MBG ini selalin jadi ladang korupsi, ladang dosa jg buat semua yg terlibat. Inget hey pertanggungjawaban kalian semua nanti di akhirat.",negative,0.9972550272941588
aman menangani porsi biar makanan anak basi memakmurkan umkmnya dana mbg kayaknya pakai catering sekali  triliunan loh,"@tinulit Selain lebih aman karna udah biasa ngehandle buat porsi banyak, tau juga biar makanan sampe di anak2 ga basi, juga bisa memakmurkan umkmnya. Dengan dana mbg sebesar itu kayanya pake catering yang jelas memungkinkan banget, triliunan loh",negative,0.5662735104560852
kah mbg makan korban publikasi media media validasi informasi,Riil kah ini? MBG makan korban tapi tidak ada publikasi sama sekali dari media? Apakah media bisa validasi informasi ini?,neutral,0.996681272983551
keracunan mbg kayaknya,@barberriess @TirtoID keracunan mbg dia kayanya,negative,0.9897302389144896
merekrut buzzer bodoh singkatannya mbg,"Merekrut 
Buzzer
Goblok

Singkatannya MBG jg",negative,0.999377965927124
dpr andai keracunan dibenah siswa dilarang konsumsi mbg,"DPR: Andai Keracunan Tidak Dibenah, Siswa Bakal Dilarang Konsumsi MBG
https://t.co/yrwBjogWtC",neutral,0.8417454361915588
bangsa dirintis nutrisi mbg jawabannya sdm indonesia kalah,"Masa depan bangsa dirintis lewat nutrisi, MBG adalah jawabannya agar SDM Indonesia tak kalah https://t.co/9qUkoaQD5A",negative,0.7545732259750366
petugas mbg to,@fckwck_ Petugas mbg tooo,neutral,0.9951613545417786
makanan beracun program mbg tuh sampah,Makanan beracun dari program MBG tuh baru sampah,negative,0.9993792772293092
ditelusuri penyedia makanan mbg menyebabkan keracunan panggil pj amp pemiliknya kirim petugas lab dapur uji bahan² makanan mereka  bahan mentah makanan saji sidak bredel kedapatan zat² berbahaya,"@NenkMonica Hrsnya mulai ditelusuri, siapa penyedia makanan MBG yg menyebabkan keracunan. Panggil PJ &amp; pemiliknya, segera kirim petugas lab ke dapur mereka utk uji bahan² makanan yg mrk gunakan. Baik bahan mentah maupun sdh jadi makanan siap saji. Sidak. Bredel kalau kedapatan zat² berbahaya",neutral,0.9962933659553528
begitu  pejabat2 dapur mencari untung anggaran mbg sih masi kaku,"@A_Bigjhonney @Jateng_Twit Kalo gitu nanti pejabat2 ga bisa punya dapur.. Ga bisa nyari untung dari anggaran MBG.. 

Gimana sih elu.. Masi kaku aja",negative,0.989694595336914
bicara aneh² disuruh makan 1 porsi mbg,@kumparan Yg bicara aneh² itu disuruh makan 1 porsi MBG dong,negative,0.9949674010276794
sedang apa peduli nyawa korban mbg nasib yakult,"@ainunnajib @prabowo Ngapain peduli pada nyawa korban MBG, nasib Yakult lebih penting.",negative,0.9694520831108092
alasan allah mempersulit jalanku kerja mbg memang  program disorot dikritik habis an ahli gizi an masyarakat,"Ternyata ini alasan Allah mempersulit jalanku buat kerja di MBG. Emang program ini lagi disorot+dikritik habis""an.
Dan Ahli Gizi lah yg jd bulan""an masyarakat.",negative,0.9838544726371764
iya insiden keracunan finland 2023 tortilla sekolah jepang 2025 3 400 siswa makan siang sekolah prancis 2017 keju amp 2025 e coli anak as outbreak staph 1990 an terkait program makan sekolah mbg perbedaan mbg,"@Nosaditya @txtdrimedia Ya, insiden keracunan di Finland (2023, tortilla di sekolah), Jepang (2025, 3.400+ siswa dari makan siang sekolah), Prancis (2017 keju &amp; 2025 E. coli pada anak), dan AS (berbagai outbreak seperti staph 1990-an) terkait program makan sekolah mereka, mirip MBG.

Perbedaan MBG",neutral,0.998877227306366
umkm percaya diri berkembang bareng mbg platform dibatasi segelintir orang,UMKM makin pede berkembang bareng MBG karena platform ini nggak dibatasi segelintir orang aja https://t.co/glxBrD683v,positive,0.6752523183822632
dikorupsi anggarannya menunya dikurangi daerah keracunan apanya bergizi menu makanannya segini dzolim banget pejabat bikin ide mbg lebih baik dihapus program,"Udh dikorupsi anggarannya, menunya dikurangi jg, di daerah lain banyak yg keracunan.
Apanya yg bergizi kalo menu makanannya segini 😭.
Dzolim bgt ini para pejabat dan yg bikin ide MBG ini.
Mending dihapus aja nih program",negative,0.9994184970855712
bullish on mbg,@BazukaBt @multibank_io Bullish on $MBG,negative,0.9156320691108704
menanggapi keracunan mbg ala warga tiktok,@barengwarga Menanggapi keracunan MBG ala warga tiktok 🥀 https://t.co/VdJDd99vVS,neutral,0.9820528626441956
program mbg hasil kebun,@Umemiya_Pranowo Program mbg dari hasil kebun sendiri,neutral,0.9976829290390016
keracunan terkait mbg negara membedakan sistem mbg indonesia negara,@grok @txtdrimedia Apakah keracunan itu terkait MBG dari negara mereka? Apa yang membedakan sistem MBG Indonesia dengan negara lain? @grok,neutral,0.997444748878479
mbg angkat potensi anak gizi matiin program bermanfaat,"MBG angkat potensi anak lewat gizi yang baik, jangan matiin program yang bermanfaat ini https://t.co/HWPCJVthSU",neutral,0.9945213794708252
program mbg melindungi generasi penerus ketimpangan gizi pendidikan berhenti jalan,"Program MBG melindungi generasi penerus dari ketimpangan gizi dan pendidikan, jangan sampai berhenti di tengah jalan https://t.co/VAakv7dn4L",negative,0.7783601880073547
i m so mad at this we dont need to be the smartest people on earth to see this as a bad program mbg menghabiskan uang anggaran negara berguna hasilnya iya dipertahankan program ajang cuci uang ajang korupsi pemerintahan,"i’m so mad at this. we dont need to be the smartest people on earth to see this as a bad program. mbg ini sangat menghabiskan duit anggaran negara, gak berguna dan gak ada hasilnya. kenapa ya masih dipertahankan? program ini jadi ajang cuci uang atau ajang korupsi pemerintahan???",negative,0.998001992702484
rakyat mengkritik didengar dievaluasi didiemin aksi kamis an ikn mangkrak mbg keracunan pajak mencekik harga kebutuhan apa2 sejahterakan guru 19juta lapangan pekerjaan program tv sekolah gabakal dikorupsi,"@somexthread Makanya Pak kalo rakyat mengkritik itu didengar, dievaluasi, jangan didiemin.
- Aksi Kamis-an
- IKN mangkrak
- MBG banyak keracunan
- pajak mencekik
- harga kebutuhan apa2 naik
- sejahterakan guru
- 19juta lapangan pekerjaan mana
- program TV di sekolah, yakin gabakal dikorupsi?",negative,0.9945481419563292
mbg makan,Lebih baik MBG (Makan Bersama Gue),neutral,0.9931581616401672
mbg isn t just another ticker on the screen,@BazukaBt @multibank_io $MBG isn’t just another ticker on the screen.,neutral,0.9569915533065796
mbg who cares bout a ps6 game when years away profesional time to shine amp sick of these ue5 game running bad on base ps5 amp profesional lazy developers amp we paying full price for these games day 1,@xMBGx mbg who cares bout a ps6 game when years away pro time to shine &amp; sick of these ue5 game running bad on base ps5 &amp; pro lazy developers &amp; we paying full price for these games day 1,negative,0.8499670028686523
mbg makan beracun gratis,@infobdg MBG : Makan Beracun gratis,negative,0.9981691837310792
mbg udang alergi udang nyicip perutku tetap  sakit,mbg tadi udang dan aku alergi udang terus tadi cuma nyicip sedikit TAPI SEKARANG PERUTKU TETEP SAKIT😭😕,positive,0.7888015508651733
rakyat dicekokin mbg keracunan rakyat negara ditindas mengakui kedaulatan menindas totally inhumane,"rakyat sendiri dicekokin mbg sampe keracunan, rakyat negara lain ditindas tapi malah mau mengakui kedaulatan yang menindas

totally inhumane",negative,0.9990286827087402
muak banget drama mbg an anjing,gue udah muak bgt sama drama per mbg an ini anj,negative,0.9949958324432372
program makan bergizi gratis mbg indonesia diluncurkan 2025 menyediakan makan gratis bergizi siswa atasi stunting anggaran rp13 t september 2025 isu keracunan massal akibat penyimpanan buruk bandingkan negeri finlandia gratis,"@Nosaditya @txtdrimedia Program Makan Bergizi Gratis (MBG) Indonesia, diluncurkan 2025, menyediakan makan gratis bergizi untuk siswa guna atasi stunting, dengan anggaran Rp13 T hingga Sept 2025. Namun, ada isu keracunan massal akibat penyimpanan buruk.

Bandingkan dengan luar negeri:
- Finlandia: Gratis",neutral,0.9989266991615297
kwon thol urusin mbg noh makan beracun gratis wok,"kwon? thol, urusin aja mbg lu noh (makan beracun gratis), lu ga pernah jelas dari dulu wok",negative,0.9982049465179444
biar pemerintah dengar tergerak bantu survey perdaerah pakai sosmed sayang uang mbg makan tong sampah mitranya takut besuara jujur bagus bagus bagus catatan berhenti alihkan,"@tempodotco Mungkin biar pemerintah dengar ,  ada yg tergerak mau bantu buat survey perdaerah pake sosmed,  sayang duit MBG kalo yg makan tong sampah  n mitranya, gak perlu takut besuara yg penting jujur apa adanya
Bagus
Tidak bagus
Bagus dengan CATATAN❗
Stop dan alihkan❗",negative,0.7860215902328491
mbg bantu anak bangsa bekal gizi pendidikan,"Lewat MBG, kita bantu anak bangsa bukan cuma hari ini, tapi selamanya melalui bekal gizi dan pendidikan https://t.co/5lJWEED0tD",neutral,0.9976732134819032
bullish on mbg,@BazukaBt @multibank_io Bullish on mbg,negative,0.9156320691108704
perbandingan mbg makanan sekolah negeri,@grok @txtdrimedia Bagaimana perbandingan MBG dengan makanan untuk sekolah di luar negeri? @grok,positive,0.781147301197052
iya mbg profit nya gede vendor anggota dewan vendor,"@abu_waras @hapeproperti Iya lah pak, MBG profit nya lebih gede buat vendor dan banyak anggota dewan yg jd vendor juga.",negative,0.4190419912338257
nilai pelaksanaannya kacau balau icw desak program mbg disetop,"Nilai Pelaksanaannya Kacau Balau, ICW Desak Program MBG Disetop -  https://t.co/3UJBEIqXOb https://t.co/hLkpfO2txz",negative,0.999266803264618
